,deep_features,hashtag,name,pic
0,[0.        0.        0.4694226 ... 2.7348056 0.        0.       ],babies,91b02603-8267-47fa-acd8-af383f865ee9.jpg,"tf.Tensor(
[[[ 0.5862745   0.5392157   0.4294118 ]
  [ 0.57843137  0.53137255  0.42156866]
  [ 0.5431373   0.49607846  0.38627455]
  ...
  [-0.04705882  0.02156867 -0.50392157]
  [-0.03137255  0.04901966 -0.50784314]
  [ 0.00784318  0.082353   -0.41960782]]

 [[ 0.48235297  0.43137258  0.3058824 ]
  [ 0.43529415  0.38431376  0.25882357]
  [ 0.454902    0.4039216   0.27843142]
  ...
  [ 0.25098044  0.30980396 -0.08039215]
  [ 0.29019612  0.36470592 -0.05490196]
  [ 0.13921574  0.22549024 -0.15882352]]

 [[ 0.34901965  0.2941177   0.16078436]
  [ 0.29019612  0.23529416  0.10196084]
  [ 0.29019612  0.23529416  0.10196084]
  ...
  [ 0.3803922   0.3686275   0.08627456]
  [ 0.4529412   0.49607846  0.19019613]
  [ 0.3803922   0.4431373   0.14117652]]

 ...

 [[ 0.35294122  0.24901965  0.0941177 ]
  [ 0.35098043  0.2176471   0.08823535]
  [ 0.49411768  0.3686275   0.25294122]
  ...
  [ 0.33725494  0.35686278  0.17450985]
  [ 0.41176474  0.39803925  0.17254907]
  [ 0.47254905  0.4039216   0.17843142]]

 [[ 0.32352945  0.27254906  0.11764711]
  [ 0.34509808  0.24705887  0.1196079 ]
  [ 0.36470592  0.26274514  0.1568628 ]
  ...
  [ 0.2431373   0.26274514  0.07647063]
  [ 0.41176474  0.39607847  0.18431377]
  [ 0.5039216   0.43529415  0.2058824 ]]

 [[ 0.2686275   0.2921569   0.1686275 ]
  [ 0.47058827  0.4176471   0.30196083]
  [ 0.40000004  0.28823534  0.17647064]
  ...
  [ 0.19019613  0.18627456  0.00196083]
  [ 0.33921573  0.33725494  0.2058824 ]
  [-0.20392156 -0.24705881 -0.37058824]]], shape=(160, 160, 3), dtype=float32)"
1,[0.22494766 0.07435133 2.8670275  ... 0.         0.         0.4585552 ],babies,cdc2e321-8b86-426b-bcf6-ec55f94e3642.jpg,"tf.Tensor(
[[[-0.25686273 -0.36666664 -0.46862742]
  [-0.30392155 -0.41372547 -0.5156863 ]
  [-0.30196077 -0.41176468 -0.5137255 ]
  ...
  [-0.49019605 -0.5686275  -0.58431375]
  [-0.49019605 -0.5686275  -0.58431375]
  [-0.49019605 -0.5686275  -0.58431375]]

 [[-0.2490196  -0.3588235  -0.4607843 ]
  [-0.2960784  -0.40588233 -0.50784314]
  [-0.30196077 -0.41176468 -0.5137255 ]
  ...
  [-0.49019605 -0.5686275  -0.58431375]
  [-0.49019605 -0.5686275  -0.58431375]
  [-0.49019605 -0.5686275  -0.58431375]]

 [[-0.24117646 -0.35098037 -0.45294115]
  [-0.27843136 -0.38823527 -0.49019605]
  [-0.31372547 -0.4235294  -0.5254902 ]
  ...
  [-0.49019605 -0.5686275  -0.58431375]
  [-0.49019605 -0.5686275  -0.58431375]
  [-0.49019605 -0.5686275  -0.58431375]]

 ...

 [[-0.50980395 -0.4470588  -0.4235294 ]
  [-0.50196075 -0.43921566 -0.41568625]
  [-0.48823527 -0.42549017 -0.40196076]
  ...
  [-0.77254903 -0.9137255  -0.8117647 ]
  [-0.77254903 -0.9137255  -0.8117647 ]
  [-0.77254903 -0.9137255  -0.8117647 ]]

 [[-0.5137255  -0.45098037 -0.42745095]
  [-0.5058824  -0.44313723 -0.41960782]
  [-0.4980392  -0.4352941  -0.41176468]
  ...
  [-0.77254903 -0.9137255  -0.79607844]
  [-0.78039217 -0.92156863 -0.8039216 ]
  [-0.77254903 -0.9137255  -0.79607844]]

 [[-0.5137255  -0.45098037 -0.42745095]
  [-0.5058824  -0.44313723 -0.41960782]
  [-0.4980392  -0.4352941  -0.41176468]
  ...
  [-0.77254903 -0.9137255  -0.7882353 ]
  [-0.78039217 -0.92156863 -0.79607844]
  [-0.77254903 -0.9137255  -0.7882353 ]]], shape=(160, 160, 3), dtype=float32)"
2,[0.03928627 0.         0.         ... 0.5113561  0.90045685 2.6235697 ],babies,b3c53d46-1c6f-4a59-aa23-1227058757cf.jpg,"tf.Tensor(
[[[-0.17058823 -0.48039216 -0.6117647 ]
  [ 0.07843143 -0.23921567 -0.4745098 ]
  [-0.15686272 -0.4862745  -0.67058825]
  ...
  [-0.00980389 -0.32941175 -0.50784314]
  [-0.02745096 -0.41176468 -0.5647059 ]
  [ 0.03137259 -0.33725488 -0.51372546]]

 [[-0.23333332 -0.5470588  -0.7019608 ]
  [-0.01960781 -0.24509802 -0.41176468]
  [ 0.08039218 -0.11568627 -0.19803923]
  ...
  [-0.07450978 -0.41960782 -0.5686275 ]
  [-0.10588235 -0.4705882  -0.6392157 ]
  [-0.01960781 -0.38235292 -0.5568627 ]]

 [[-0.03921567 -0.36470586 -0.5372549 ]
  [ 0.7980392   0.7019608   0.6       ]
  [ 0.9039216   0.827451    0.82941175]
  ...
  [-0.1980392  -0.56078434 -0.67647064]
  [-0.12156862 -0.4588235  -0.6450981 ]
  [-0.09019607 -0.45490193 -0.62352943]]

 ...

 [[-0.03137252 -0.35882354 -0.545098  ]
  [-0.4392157  -0.5980392  -0.6784314 ]
  [ 0.28823534  0.4431373   0.26274514]
  ...
  [ 0.67058825  0.5039216   0.17058828]
  [ 0.04117648 -0.1607843  -0.40196076]
  [-0.20196077 -0.48431373 -0.6215687 ]]

 [[-0.06274508 -0.48627448 -0.6313726 ]
  [-0.44509804 -0.74509805 -0.8117647 ]
  [-0.4745098  -0.72156864 -0.8019608 ]
  ...
  [-0.01960784 -0.21960783 -0.4705882 ]
  [-0.08823527 -0.327451   -0.52156866]
  [-0.13333333 -0.4372549  -0.5921569 ]]

 [[-0.08235292 -0.4235294  -0.5862745 ]
  [-0.5137255  -0.7509804  -0.8784314 ]
  [-0.2117647  -0.5764706  -0.70392156]
  ...
  [-0.17254901 -0.45490193 -0.6098039 ]
  [-0.01568624 -0.31960785 -0.49019608]
  [ 0.05882357 -0.2960784  -0.50784314]]], shape=(160, 160, 3), dtype=float32)"
3,[1.525151   0.1844926  0.01535643 ... 0.08590527 0.         0.        ],babies,376d45c7-2a68-4f0d-9b4f-2436d396b35f.jpg,"tf.Tensor(
[[[-0.83137256 -0.83137256 -0.83137256]
  [-0.8235294  -0.8235294  -0.8235294 ]
  [-0.82941175 -0.82941175 -0.82941175]
  ...
  [-0.12549019 -0.4843137  -0.6901961 ]
  [-0.29999998 -0.64705884 -0.84313726]
  [-0.40392154 -0.7137255  -0.8745098 ]]

 [[-0.8784314  -0.8784314  -0.8627451 ]
  [-0.84901965 -0.84901965 -0.8333334 ]
  [-0.85490197 -0.85490197 -0.8392157 ]
  ...
  [-0.08039215 -0.42745095 -0.59411764]
  [-0.24705881 -0.54509807 -0.70980394]
  [-0.08039215 -0.3117647  -0.45490193]]

 [[-0.7980392  -0.80588233 -0.76666665]
  [-0.79019606 -0.7980392  -0.7588235 ]
  [-0.7921569  -0.8        -0.7607843 ]
  ...
  [-0.00784311 -0.35686272 -0.5098039 ]
  [-0.17647058 -0.47647056 -0.6313726 ]
  [-0.07254902 -0.30588233 -0.43921566]]

 ...

 [[-0.2960784  -0.59019613 -0.7490196 ]
  [-0.33725488 -0.6019608  -0.7588235 ]
  [-0.34117645 -0.5666667  -0.7137255 ]
  ...
  [-0.9862745  -0.582353   -0.72745097]
  [-0.9        -0.50392157 -0.6294118 ]
  [-0.9627451  -0.6019608  -0.69803923]]

 [[-0.35098037 -0.61764705 -0.7588235 ]
  [-0.31764704 -0.5647059  -0.7078432 ]
  [-0.2980392  -0.52156866 -0.6647059 ]
  ...
  [-0.9607843  -0.53137255 -0.672549  ]
  [-0.9607843  -0.49019605 -0.62352943]
  [-0.9254902  -0.43137252 -0.5568628 ]]

 [[-0.37843135 -0.57843137 -0.7137255 ]
  [-0.30588233 -0.5196079  -0.6509804 ]
  [-0.272549   -0.50784314 -0.64117646]
  ...
  [-0.9137255  -0.46274507 -0.57843137]
  [-0.91176474 -0.43921566 -0.5862745 ]
  [-0.9490196  -0.42745095 -0.59607846]]], shape=(160, 160, 3), dtype=float32)"
4,[0.         0.         0.00435753 ... 0.9173969  0.08769581 0.27397573],animals,bbaae8bd-96e1-4c9a-8d52-6d260ff67645.jpg,"tf.Tensor(
[[[ 2.00000048e-01  5.29412329e-02 -6.07843101e-02]
  [ 2.03921616e-01  4.90196645e-02 -7.05882311e-02]
  [ 2.07843184e-01  3.72549593e-02 -7.84313679e-02]
  ...
  [ 2.47058868e-01  5.88235855e-02  2.35294700e-02]
  [ 2.62745142e-01  7.45098591e-02  3.72549593e-02]
  [ 2.76470631e-01  8.43137801e-02  6.27451539e-02]]

 [[ 2.25490242e-01  6.47059381e-02 -4.50980365e-02]
  [ 2.52941221e-01  7.84314275e-02 -2.74509788e-02]
  [ 2.56862789e-01  9.01961327e-02 -1.96078271e-02]
  ...
  [ 2.66666710e-01  6.47059381e-02  3.13726068e-02]
  [ 2.66666710e-01  5.29412329e-02  2.35294551e-02]
  [ 2.60784358e-01  5.88235855e-02  2.54902542e-02]]

 [[ 2.41176516e-01  6.66667223e-02 -3.92156839e-02]
  [ 2.62745142e-01  8.03922117e-02  2.98023224e-08]
  [ 2.94117689e-01  1.11764759e-01  6.47059381e-02]
  ...
  [ 2.41176516e-01  5.88235855e-02  1.96079016e-02]
  [ 2.29411811e-01  5.88235855e-02  1.17647648e-02]
  [ 2.45098084e-01  6.47059381e-02  2.74510384e-02]]

 ...

 [[ 7.07843184e-01  4.86274540e-01  4.82352972e-01]
  [ 7.01960802e-01  4.50980425e-01  4.19607878e-01]
  [ 7.03921556e-01  4.11764741e-01  3.45098078e-01]
  ...
  [-7.05882311e-02 -1.09803915e-01 -1.05882347e-01]
  [-1.41176462e-01 -1.84313715e-01 -1.66666657e-01]
  [-9.41176414e-02 -1.35294110e-01 -1.13725483e-01]]

 [[ 7.17647076e-01  5.01960814e-01  4.82352972e-01]
  [ 7.00000048e-01  4.72549051e-01  4.56862777e-01]
  [ 7.03921556e-01  4.37254936e-01  3.76470625e-01]
  ...
  [-1.43137246e-01 -1.58823520e-01 -1.50980383e-01]
  [-1.05882347e-01 -1.21568620e-01 -1.13725483e-01]
  [-4.70588207e-02 -9.21568573e-02 -4.50980365e-02]]

 [[ 7.23529458e-01  5.21568656e-01  5.07843137e-01]
  [ 7.17647076e-01  4.98039246e-01  4.86274540e-01]
  [ 7.09803939e-01  4.62745130e-01  4.58823562e-01]
  ...
  [-1.68627441e-01 -1.41176462e-01 -1.21568620e-01]
  [-1.21568620e-01 -1.15686268e-01 -1.17647052e-01]
  [-5.88235259e-02 -6.66666627e-02 -5.49019575e-02]]], shape=(160, 160, 3), dtype=float32)"
5,[0.15109292 0.02821705 0.06960323 ... 0.         0.01118078 0.08831348],architecture,40e30049-e743-4552-868d-362c6f3036a3.jpg,"tf.Tensor(
[[[0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  ...
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]]

 [[0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  ...
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]]

 [[0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  ...
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]]

 ...

 [[0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  ...
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]]

 [[0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  ...
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]]

 [[0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  ...
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]
  [0.5921569 0.5921569 0.5921569]]], shape=(160, 160, 3), dtype=float32)"
6,[0.3412042  0.5430923  0.         ... 0.02783583 0.7943748  2.9237995 ],architecture,f0a4f7e8-040a-4c67-a815-5be89681d78a.jpg,"tf.Tensor(
[[[-0.45490193 -0.61960787 -0.7058824 ]
  [-0.4352941  -0.6        -0.6862745 ]
  [-0.45490193 -0.61960787 -0.7058824 ]
  ...
  [-0.35490194 -0.64117646 -0.8666667 ]
  [-0.39215684 -0.6647059  -0.88235295]
  [-0.45294115 -0.71960783 -0.9313725 ]]

 [[-0.46666664 -0.6156863  -0.6901961 ]
  [-0.4470588  -0.59607846 -0.67058825]
  [-0.46470585 -0.61372554 -0.6882353 ]
  ...
  [-0.43921566 -0.70980394 -0.9254902 ]
  [-0.41764703 -0.67647064 -0.8803922 ]
  [-0.5176471  -0.7607843  -0.9529412 ]]

 [[-0.5058824  -0.627451   -0.69411767]
  [-0.5156863  -0.63725495 -0.70392156]
  [-0.50196075 -0.62352943 -0.6901961 ]
  ...
  [-0.42941174 -0.672549   -0.8647059 ]
  [-0.5156863  -0.74313724 -0.9235294 ]
  [-0.59411764 -0.80784315 -0.98039216]]

 ...

 [[-0.9235294  -0.9627451  -0.9882353 ]
  [-0.93921566 -1.         -1.        ]
  [-0.82549024 -0.9137255  -0.9705882 ]
  ...
  [-0.6058824  -0.76666665 -0.91176474]
  [-0.69803923 -0.84313726 -0.9529412 ]
  [-0.7882353  -0.9137255  -0.99215686]]

 [[-0.9490196  -0.98039216 -0.99215686]
  [-0.93333334 -0.9843137  -1.        ]
  [-0.845098   -0.9196079  -0.9647059 ]
  ...
  [-0.7411765  -0.8843137  -0.97450984]
  [-0.84313726 -0.95490193 -0.9941176 ]
  [-0.88823533 -0.97450984 -0.9843137 ]]

 [[-0.9607843  -0.97843134 -0.98039216]
  [-0.94509804 -0.98039216 -0.99607843]
  [-0.85882354 -0.9254902  -0.95686275]
  ...
  [-0.84901965 -0.972549   -1.        ]
  [-0.8745098  -0.9882353  -0.9901961 ]
  [-0.8901961  -0.99607843 -0.9764706 ]]], shape=(160, 160, 3), dtype=float32)"
7,[0.1478956  0.07543956 0.         ... 0.06929851 1.1559117  0.        ],wedding,da8cfef1-f209-4645-8377-10f821840c58.jpg,"tf.Tensor(
[[[-1.         -0.9901961  -1.        ]
  [-1.         -0.9901961  -1.        ]
  [-0.99803925 -0.9941176  -1.        ]
  ...
  [-0.5372549  -0.99215686 -1.        ]
  [-0.5294118  -0.9843137  -1.        ]
  [-0.52156866 -0.9764706  -0.99215686]]

 [[-1.         -0.982353   -0.99607843]
  [-0.99803925 -0.9941176  -0.95686275]
  [-0.97450984 -0.9705882  -0.9901961 ]
  ...
  [-0.52156866 -0.9843137  -0.99607843]
  [-0.5254902  -0.9882353  -1.        ]
  [-0.5176471  -0.98039216 -0.99215686]]

 [[-0.97843134 -0.9901961  -1.        ]
  [-0.94509804 -0.9705882  -0.9941176 ]
  [-0.7313726  -0.75686276 -0.88235295]
  ...
  [-0.50980395 -0.9843137  -0.99215686]
  [-0.5137255  -0.9882353  -0.99607843]
  [-0.5        -0.97450984 -0.982353  ]]

 ...

 [[ 0.59803927  0.28431377  0.04901966]
  [ 0.6392157   0.3176471   0.07843143]
  [ 0.70980394  0.38431376  0.12941182]
  ...
  [ 0.5647059   0.27843142  0.09215692]
  [ 0.5294118   0.23333338  0.04705888]
  [ 0.45098042  0.13921574 -0.04705882]]

 [[ 0.61960787  0.2803922   0.07058829]
  [ 0.6686275   0.3411765   0.1196079 ]
  [ 0.7058824   0.38431376  0.14509809]
  ...
  [ 0.65686274  0.33529416  0.09803927]
  [ 0.57843137  0.23921573  0.01176476]
  [ 0.4647059   0.11568633 -0.10392156]]

 [[ 0.6627451   0.30196083  0.11372554]
  [ 0.7019608   0.36274514  0.15294123]
  [ 0.72156864  0.40784317  0.17254907]
  ...
  [ 0.80980396  0.43529415  0.09215692]
  [ 0.8039216   0.40784317  0.0941177 ]
  [ 0.7019608   0.30196083  0.00392161]]], shape=(160, 160, 3), dtype=float32)"
8,[0.28955886 1.0535188  0.         ... 0.         0.         0.        ],travel,a529baa0-020c-4341-87fa-24ca12e32909.jpg,"tf.Tensor(
[[[-0.99215686 -0.40588233  0.09019613]
  [-0.9882353  -0.3607843   0.13333338]
  [-0.99607843 -0.37450978  0.14117652]
  ...
  [-0.99803925 -0.36666664  0.10980397]
  [-1.         -0.35490194  0.11372554]
  [-0.9705882  -0.39999998  0.13333338]]

 [[-0.9941176  -0.3705882   0.12352946]
  [-0.99607843 -0.33137253  0.16470593]
  [-0.99803925 -0.34117645  0.16666672]
  ...
  [-0.9764706  -0.34117645  0.19607848]
  [-0.9941176  -0.3352941   0.17647064]
  [-1.         -0.30196077  0.16078436]]

 [[-0.99215686 -0.3607843   0.14509809]
  [-1.         -0.32745096  0.17450985]
  [-1.         -0.3470588   0.17254907]
  ...
  [-1.         -0.35490194  0.1686275 ]
  [-0.9411765  -0.38039213  0.20784318]
  [-0.9843137  -0.3470588   0.15294123]]

 ...

 [[-0.9764706  -0.37450978  0.12156868]
  [-0.99215686 -0.33725488  0.18627456]
  [-1.         -0.3470588   0.17647064]
  ...
  [-1.         -0.34117645  0.18431377]
  [-1.         -0.3490196   0.17647064]
  [-1.         -0.3490196   0.17647064]]

 [[-0.9764706  -0.40392154  0.12352946]
  [-0.9843137  -0.34117645  0.1941177 ]
  [-0.982353   -0.3490196   0.18431377]
  ...
  [-1.         -0.3490196   0.17647064]
  [-1.         -0.3490196   0.17647064]
  [-1.         -0.3490196   0.17647064]]

 [[ 0.6509804  -0.47058824  0.20000005]
  [ 0.6058824  -0.45686272  0.22352946]
  [ 0.654902   -0.4862745   0.1941177 ]
  ...
  [-1.         -0.3490196   0.17647064]
  [-1.         -0.3490196   0.17647064]
  [-1.         -0.3490196   0.17647064]]], shape=(160, 160, 3), dtype=float32)"
9,[0.         0.3544328  0.56507814 ... 0.56591505 0.         0.        ],food,7fce07d0-c5c4-471a-b065-a7dda5a93dbf.jpg,"tf.Tensor(
[[[0.23921573 0.45098042 0.6       ]
  [0.23921573 0.45098042 0.6       ]
  [0.23921573 0.45098042 0.6       ]
  ...
  [0.16078436 0.41960788 0.5529412 ]
  [0.16078436 0.41960788 0.5529412 ]
  [0.16078436 0.41960788 0.5529412 ]]

 [[0.23921573 0.45098042 0.6       ]
  [0.23921573 0.45098042 0.6       ]
  [0.23921573 0.45098042 0.6       ]
  ...
  [0.1686275  0.427451   0.56078434]
  [0.1686275  0.427451   0.56078434]
  [0.1686275  0.427451   0.56078434]]

 [[0.23921573 0.45098042 0.6       ]
  [0.23921573 0.45098042 0.6       ]
  [0.23921573 0.45098042 0.6       ]
  ...
  [0.16078436 0.41960788 0.5529412 ]
  [0.16078436 0.41960788 0.5529412 ]
  [0.16078436 0.41960788 0.5529412 ]]

 ...

 [[0.2941177  0.49803925 0.6156863 ]
  [0.2941177  0.49803925 0.6156863 ]
  [0.2941177  0.49803925 0.6156863 ]
  ...
  [0.27058828 0.48235297 0.6313726 ]
  [0.2666667  0.4784314  0.627451  ]
  [0.2666667  0.4784314  0.627451  ]]

 [[0.28627455 0.4901961  0.60784316]
  [0.28627455 0.4901961  0.60784316]
  [0.28627455 0.4901961  0.60784316]
  ...
  [0.26274514 0.47450984 0.62352943]
  [0.26274514 0.47450984 0.62352943]
  [0.26274514 0.47450984 0.62352943]]

 [[0.28627455 0.4901961  0.60784316]
  [0.28627455 0.4901961  0.60784316]
  [0.28627455 0.4901961  0.60784316]
  ...
  [0.26274514 0.47450984 0.62352943]
  [0.26274514 0.47450984 0.62352943]
  [0.26274514 0.47450984 0.62352943]]], shape=(160, 160, 3), dtype=float32)"
